virus_unid	human_unid	pred_score	pred_label
A4D8X6	Q53GL7	6.3027765e-06	0
R9UQM6	P46379	0.006305999	0
Q3KSS3	Q9NSC5	0.27009165	0
P0DSV7	P49069	0.1041245	0
P10185	Q16666	0.99997044	1
P87662	P20226	1.0	1
P30911	Q12959	0.99998844	1
P17371	P04792	0.008308217	0
Q1NZ49	P04637	0.010885984	0
P88990	P56962	0.99966943	1
P03493	Q15906	3.2453484e-06	0
P03211	O95271	0.0028022644	0
P03454	P08195	8.560433e-06	0
G8HBD9	Q16666	1.0	1
P68323	P15529	0.07846522	0
P10201	Q8IZ63	6.8969376e-07	0
A4URT5	Q9HD26	0.97129965	1
Q9DUN1	Q93009	0.6746546	1
P03496	Q96SI9	6.548818e-05	0
P04512	P56199	9.1067486e-05	0
P03225	Q9C0F1	0.20579013	0
P20505	O14733	1.2022287e-08	0
A1Z0P7	Q9UKJ1	0.01784752	0
P36801	O43709	1.3364354e-07	0
P19893	P61956	0.9979348	1
F8RFA1	Q16666	0.99702865	1
Q99AU3	P46109	0.22834855	0
Q20MD4	Q92997	0.0047373604	0
P10227	Q9NRY6	0.7546929	1
P10230	Q04917	0.92072487	1
Q6TVW2	P62877	0.17042261	0
P06459	P07305	0.9332906	1
P59596	P61769	4.1828052e-06	0
P03495	Q07812	0.96351254	1
Q20MH3	Q96SI9	2.0641624e-05	0
Q9QR69	O00165	0.0006429762	0
A9QPL9	Q10589	0.0013149456	0
P24935	Q9UI95	0.019909639	0
P06428	Q13630	0.28420117	0
A4ZNQ3	Q92966	2.6309852e-05	0
P11158	P78344	0.019397303	0
P88981	P27694	0.9796872	1
Q3KSS4	Q99750	0.9346737	1
Q77DJ6	P46934	0.99921095	1
P59637	P68363	0.0015625532	0
P03437	P01903	1.1421596e-06	0
O57300	P78556	0.8610686	1
P0DTC5	O95832	0.00010173155	0
Q194T2	P05455	0.048116893	0
P03086	Q99689	0.078817494	0
P10210	Q8N9W6	0.99908733	1
P0DTC4	P20700	0.5301732	1
P0C6Z6	Q13651	0.9570051	1
P03139	O75843	1.0	1
Q20MD0	O00505	0.99782145	1
B4URA9	Q14258	0.06629439	0
A0A5J6DW60	Q16666	0.99997044	1
P15240	P00747	6.2418434e-07	0
P03452	Q01813	1.5478206e-06	0
P04543	O95786	0.9999999	1
Q30NB4	Q9H1Y0	2.5439997e-05	0
B4URE7	Q9H0W5	0.0003967384	0
Q6SWB7	Q9Y4K3	0.99718827	1
F5H9G3	Q93009	0.94321096	1
P04862	O15111	0.54235876	1
Q779E8	Q9UI95	0.019909644	0
P21698	Q13888	2.3190265e-05	0
P88937	Q9ULM6	5.058482e-05	0
P04291	Q16666	0.99999845	1
A0A5J6DVX6	P63267	0.024306195	0
Q1K9G9	Q9NZT1	0.0064813877	0
C8XNX3	Q15477	0.0069165966	0
P08353	Q9UHD2	0.9999517	1
A0A0B6VKU0	Q9UBQ7	0.0011993605	0
Q05128	Q9Y5L4	0.06680773	0
Q81871	Q9H6X4	0.0003538437	0
Q1HVF7	Q00987	0.99867624	1
P06436	Q9UKJ1	0.08271089	0
F5HIC6	Q14653	0.78517216	1
Q98131	P21912	0.017378012	0
K9N4V0	Q15477	0.0008635136	0
Q6VE52	Q9HD26	0.00032191252	0
Q9QJ49	P04637	0.05317369	0
Q3ZK64	Q13751	0.0006999712	0
Q9ICL0	Q08174	0.0059096646	0
F5HAR0	Q13546	0.8555714	1
P88986	Q86V48	0.99077106	1
P04305	P07355	0.009511033	0
P36313	P62136	0.9999924	1
Q6SWW3	O14818	0.98888576	1
Q9Q2P1	P63244	1.0	1
B4UPA8	P15311	0.0476262	0
O41925	P13500	0.43771523	0
P0DKB0	Q9UQ52	1.134782e-06	0
O55527	Q8WUM4	0.9998802	1
Q76R62	Q93088	0.9998981	1
P88940	P56537	0.44761613	0
Q2PJP0	Q8NC69	5.5101177e-06	0
P52584	P35968	0.46941036	0
Q6SW29	P06400	0.12293732	0
P06929	P61803	0.83965546	1
Q9IBY5	Q9HD26	0.9569724	1
P0CK47	O15162	0.018758709	0
Q9WH76	P61221	0.99989057	1
Q9YKI3	O00410	0.9926524	1
Q9ICL1	Q12959	0.9999975	1
P23372	Q05BQ5	4.2039613e-07	0
O39474	P05455	0.9995968	1
P06461	Q08431	1.1091686e-05	0
P88988	Q6UXV4	0.012418351	0
A3EXD4	Q96RT1	0.9998325	1
P88959	Q9HA64	1.5740625e-05	0
F8RE30	Q16666	0.9988753	1
Q6TVJ1	Q86VP6	0.036907114	0
Q8JPR0	P20591	7.76696e-05	0
Q0A2H0	P78352	7.0158376e-06	0
R9UMC1	Q5VV52	1.0085592e-05	0
Q6DP93	Q99759	4.4644996e-05	0
X5HMX4	O15118	1.7832957e-05	0
A4GDF4	P42224	0.9947403	1
I6TAG8	O75525	0.0024222087	0
P03485	Q12800	0.9307459	1
Q69114	P28799	0.9999924	1
A0A7S4U3Y4	P61981	0.9650526	1
B9UPF3	Q9Y5M8	0.15558088	0
P10211	P0CG48	0.999998	1
D3JIT8	Q96DU3	3.2790406e-06	0
Q76RC6	P42224	0.9947403	1
Q805P6	P04792	4.0783234e-05	0
P10234	Q16666	0.9988753	1
P06930	P25685	0.0010008023	0
Q05320	P25815	0.0039162724	0
A0A0C7TUY8	Q9Y6C9	0.00085639337	0
P14357	O75398	2.9688823e-05	0
P03180	Q13651	0.9570053	1
A4D8X6	Q53GL7	6.3027765e-06	0
R9UQM6	P46379	0.006305999	0
Q3KSS3	Q9NSC5	0.27009165	0
P0DSV7	P49069	0.1041245	0
P10185	Q16666	0.99997044	1
P87662	P20226	1.0	1
P30911	Q12959	0.99998844	1
P17371	P04792	0.008308217	0
Q1NZ49	P04637	0.010885984	0
P88990	P56962	0.99966943	1
P03493	Q15906	3.2453484e-06	0
P03211	O95271	0.0028022644	0
P03454	P08195	8.560433e-06	0
G8HBD9	Q16666	1.0	1
P68323	P15529	0.07846522	0
P10201	Q8IZ63	6.8969376e-07	0
A4URT5	Q9HD26	0.97129965	1
Q9DUN1	Q93009	0.6746546	1
P03496	Q96SI9	6.548818e-05	0
P04512	P56199	9.1067486e-05	0
P03225	Q9C0F1	0.20579013	0
P20505	O14733	1.2022287e-08	0
A1Z0P7	Q9UKJ1	0.01784752	0
P36801	O43709	1.3364354e-07	0
P19893	P61956	0.9979348	1
F8RFA1	Q16666	0.99702865	1
Q99AU3	P46109	0.22834855	0
Q20MD4	Q92997	0.0047373604	0
P10227	Q9NRY6	0.7546929	1
P10230	Q04917	0.92072487	1
Q6TVW2	P62877	0.17042229	0
P06459	P07305	0.9332905	1
P59596	P61769	4.1828052e-06	0
P03495	Q07812	0.96351254	1
Q20MH3	Q96SI9	2.0641624e-05	0
Q9QR69	O00165	0.0006429762	0
A9QPL9	Q10589	0.0013149456	0
P24935	Q9UI95	0.019909644	0
P06428	Q13630	0.2842013	0
A4ZNQ3	Q92966	2.6309852e-05	0
P11158	P78344	0.019397303	0
P88981	P27694	0.9796872	1
Q3KSS4	Q99750	0.9346737	1
Q77DJ6	P46934	0.99921095	1
P59637	P68363	0.0015625532	0
P03437	P01903	1.1421596e-06	0
O57300	P78556	0.8610686	1
P0DTC5	O95832	0.00010173155	0
Q194T2	P05455	0.048116893	0
P03086	Q99689	0.078817494	0
P10210	Q8N9W6	0.99908733	1
P0DTC4	P20700	0.5301732	1
P0C6Z6	Q13651	0.9570051	1
P03139	O75843	1.0	1
Q20MD0	O00505	0.99782145	1
B4URA9	Q14258	0.06629439	0
A0A5J6DW60	Q16666	0.99997044	1
P15240	P00747	6.2418434e-07	0
P03452	Q01813	1.5478206e-06	0
P04543	O95786	0.9999999	1
Q30NB4	Q9H1Y0	2.5439997e-05	0
B4URE7	Q9H0W5	0.0003967384	0
Q6SWB7	Q9Y4K3	0.99718827	1
F5H9G3	Q93009	0.9432111	1
P04862	O15111	0.54235876	1
Q779E8	Q9UI95	0.019909644	0
P21698	Q13888	2.3190265e-05	0
P88937	Q9ULM6	5.058482e-05	0
P04291	Q16666	0.99999845	1
A0A5J6DVX6	P63267	0.02430619	0
Q1K9G9	Q9NZT1	0.0064814063	0
C8XNX3	Q15477	0.0069165966	0
P08353	Q9UHD2	0.9999517	1
A0A0B6VKU0	Q9UBQ7	0.0011993605	0
Q05128	Q9Y5L4	0.06680773	0
Q81871	Q9H6X4	0.0003538437	0
Q1HVF7	Q00987	0.99867624	1
P06436	Q9UKJ1	0.08271089	0
F5HIC6	Q14653	0.78517216	1
Q98131	P21912	0.017378012	0
K9N4V0	Q15477	0.0008635136	0
Q6VE52	Q9HD26	0.00032191252	0
Q9QJ49	P04637	0.05317369	0
Q3ZK64	Q13751	0.0006999712	0
Q9ICL0	Q08174	0.0059096646	0
F5HAR0	Q13546	0.8555714	1
P88986	Q86V48	0.99077106	1
P04305	P07355	0.009511033	0
P36313	P62136	0.9999924	1
Q6SWW3	O14818	0.98888576	1
Q9Q2P1	P63244	1.0	1
B4UPA8	P15311	0.0476262	0
O41925	P13500	0.43771523	0
P0DKB0	Q9UQ52	1.134782e-06	0
O55527	Q8WUM4	0.9998802	1
Q76R62	Q93088	0.9998981	1
P88940	P56537	0.44761613	0
Q2PJP0	Q8NC69	5.5101177e-06	0
P52584	P35968	0.46941036	0
Q6SW29	P06400	0.12293732	0
P06929	P61803	0.83965546	1
Q9IBY5	Q9HD26	0.9569724	1
P0CK47	O15162	0.018758686	0
Q9WH76	P61221	0.99989057	1
Q9YKI3	O00410	0.9926524	1
Q9ICL1	Q12959	0.9999975	1
P23372	Q05BQ5	4.2039613e-07	0
O39474	P05455	0.9995968	1
P06461	Q08431	1.1091686e-05	0
P88988	Q6UXV4	0.012418351	0
A3EXD4	Q96RT1	0.9998325	1
P88959	Q9HA64	1.5740625e-05	0
F8RE30	Q16666	0.9988753	1
Q6TVJ1	Q86VP6	0.036907114	0
Q8JPR0	P20591	7.76696e-05	0
Q0A2H0	P78352	7.0158376e-06	0
R9UMC1	Q5VV52	1.0085592e-05	0
Q6DP93	Q99759	4.4644996e-05	0
X5HMX4	O15118	1.7832957e-05	0
A4GDF4	P42224	0.9947403	1
I6TAG8	O75525	0.0024222087	0
P03485	Q12800	0.9307459	1
Q69114	P28799	0.9999924	1
A0A7S4U3Y4	P61981	0.9650526	1
B9UPF3	Q9Y5M8	0.15558088	0
P10211	P0CG48	0.999998	1
D3JIT8	Q96DU3	3.279028e-06	0
Q76RC6	P42224	0.9947403	1
Q805P6	P04792	4.0783234e-05	0
P10234	Q16666	0.9988753	1
P06930	P25685	0.0010008023	0
Q05320	P25815	0.0039162724	0
A0A0C7TUY8	Q9Y6C9	0.00085639337	0
P14357	O75398	2.9688796e-05	0
P03180	Q13651	0.9570051	1
A4D8X6	Q53GL7	6.3027765e-06	0
R9UQM6	P46379	0.006305999	0
Q3KSS3	Q9NSC5	0.27009165	0
P0DSV7	P49069	0.1041245	0
P10185	Q16666	0.99997044	1
P87662	P20226	1.0	1
P30911	Q12959	0.99998844	1
P17371	P04792	0.008308217	0
Q1NZ49	P04637	0.010885984	0
P88990	P56962	0.99966943	1
P03493	Q15906	3.2453484e-06	0
P03211	O95271	0.0028022644	0
P03454	P08195	8.560433e-06	0
G8HBD9	Q16666	1.0	1
P68323	P15529	0.07846522	0
P10201	Q8IZ63	6.8969376e-07	0
A4URT5	Q9HD26	0.97129965	1
Q9DUN1	Q93009	0.6746546	1
P03496	Q96SI9	6.548818e-05	0
P04512	P56199	9.1067486e-05	0
P03225	Q9C0F1	0.20579013	0
P20505	O14733	1.2022287e-08	0
A1Z0P7	Q9UKJ1	0.01784752	0
P36801	O43709	1.3364391e-07	0
P19893	P61956	0.9979348	1
F8RFA1	Q16666	0.99702865	1
Q99AU3	P46109	0.22834855	0
Q20MD4	Q92997	0.0047373604	0
P10227	Q9NRY6	0.7546929	1
P10230	Q04917	0.92072487	1
Q6TVW2	P62877	0.17042261	0
P06459	P07305	0.9332906	1
P59596	P61769	4.1828052e-06	0
P03495	Q07812	0.96351254	1
Q20MH3	Q96SI9	2.0641624e-05	0
Q9QR69	O00165	0.0006429762	0
A9QPL9	Q10589	0.0013149456	0
P24935	Q9UI95	0.019909644	0
P06428	Q13630	0.2842013	0
A4ZNQ3	Q92966	2.6309852e-05	0
P11158	P78344	0.019397303	0
P88981	P27694	0.9796872	1
Q3KSS4	Q99750	0.9346737	1
Q77DJ6	P46934	0.99921095	1
P59637	P68363	0.0015625532	0
P03437	P01903	1.1421596e-06	0
O57300	P78556	0.8610686	1
P0DTC5	O95832	0.00010173155	0
Q194T2	P05455	0.048116893	0
P03086	Q99689	0.078817494	0
P10210	Q8N9W6	0.99908733	1
P0DTC4	P20700	0.5301732	1
P0C6Z6	Q13651	0.9570051	1
P03139	O75843	1.0	1
Q20MD0	O00505	0.99782145	1
B4URA9	Q14258	0.06629428	0
A0A5J6DW60	Q16666	0.99997044	1
P15240	P00747	6.2418434e-07	0
P03452	Q01813	1.5478206e-06	0
P04543	O95786	0.9999999	1
Q30NB4	Q9H1Y0	2.5439997e-05	0
B4URE7	Q9H0W5	0.0003967384	0
Q6SWB7	Q9Y4K3	0.99718827	1
F5H9G3	Q93009	0.94321096	1
P04862	O15111	0.54235876	1
Q779E8	Q9UI95	0.019909644	0
P21698	Q13888	2.3190265e-05	0
P88937	Q9ULM6	5.058482e-05	0
P04291	Q16666	0.99999845	1
A0A5J6DVX6	P63267	0.02430619	0
Q1K9G9	Q9NZT1	0.0064814063	0
C8XNX3	Q15477	0.0069165966	0
P08353	Q9UHD2	0.9999517	1
A0A0B6VKU0	Q9UBQ7	0.0011993605	0
Q05128	Q9Y5L4	0.06680773	0
Q81871	Q9H6X4	0.0003538437	0
Q1HVF7	Q00987	0.99867624	1
P06436	Q9UKJ1	0.08271089	0
F5HIC6	Q14653	0.78517216	1
Q98131	P21912	0.017378012	0
K9N4V0	Q15477	0.0008635136	0
Q6VE52	Q9HD26	0.00032191252	0
Q9QJ49	P04637	0.05317369	0
Q3ZK64	Q13751	0.0006999712	0
Q9ICL0	Q08174	0.0059096646	0
F5HAR0	Q13546	0.8555714	1
P88986	Q86V48	0.99077106	1
P04305	P07355	0.009511019	0
P36313	P62136	0.9999924	1
Q6SWW3	O14818	0.98888576	1
Q9Q2P1	P63244	1.0	1
B4UPA8	P15311	0.0476262	0
O41925	P13500	0.43771523	0
P0DKB0	Q9UQ52	1.134782e-06	0
O55527	Q8WUM4	0.9998802	1
Q76R62	Q93088	0.9998981	1
P88940	P56537	0.44761613	0
Q2PJP0	Q8NC69	5.5101177e-06	0
P52584	P35968	0.46941036	0
Q6SW29	P06400	0.12293732	0
P06929	P61803	0.83965546	1
Q9IBY5	Q9HD26	0.9569724	1
P0CK47	O15162	0.018758686	0
Q9WH76	P61221	0.99989057	1
Q9YKI3	O00410	0.9926524	1
Q9ICL1	Q12959	0.9999975	1
P23372	Q05BQ5	4.2039613e-07	0
O39474	P05455	0.9995968	1
P06461	Q08431	1.1091686e-05	0
P88988	Q6UXV4	0.012418351	0
A3EXD4	Q96RT1	0.9998325	1
P88959	Q9HA64	1.5740625e-05	0
F8RE30	Q16666	0.9988753	1
Q6TVJ1	Q86VP6	0.036907114	0
Q8JPR0	P20591	7.76696e-05	0
Q0A2H0	P78352	7.0158376e-06	0
R9UMC1	Q5VV52	1.0085592e-05	0
Q6DP93	Q99759	4.4644996e-05	0
X5HMX4	O15118	1.7832957e-05	0
A4GDF4	P42224	0.9947403	1
I6TAG8	O75525	0.0024222005	0
P03485	Q12800	0.9307459	1
Q69114	P28799	0.9999924	1
A0A7S4U3Y4	P61981	0.9650526	1
B9UPF3	Q9Y5M8	0.15558088	0
P10211	P0CG48	0.999998	1
D3JIT8	Q96DU3	3.2790406e-06	0
Q76RC6	P42224	0.9947403	1
Q805P6	P04792	4.0783234e-05	0
P10234	Q16666	0.9988753	1
P06930	P25685	0.0010008023	0
Q05320	P25815	0.0039162724	0
A0A0C7TUY8	Q9Y6C9	0.00085639337	0
P14357	O75398	2.9688796e-05	0
P03180	Q13651	0.9570051	1
A4D8X6	Q53GL7	6.3027765e-06	0
R9UQM6	P46379	0.006305999	0
Q3KSS3	Q9NSC5	0.27009165	0
P0DSV7	P49069	0.1041245	0
P10185	Q16666	0.99997044	1
P87662	P20226	1.0	1
P30911	Q12959	0.99998844	1
P17371	P04792	0.008308217	0
Q1NZ49	P04637	0.010885984	0
P88990	P56962	0.99966943	1
P03493	Q15906	3.2453484e-06	0
P03211	O95271	0.0028022644	0
P03454	P08195	8.560433e-06	0
G8HBD9	Q16666	1.0	1
P68323	P15529	0.07846522	0
